,Date,Errors,Offset
0,Sat Jan 24 13:53:56 EST 2026,2034,0.0
1,Sat Jan 24 13:54:19 EST 2026,2034,23.0
2,Sat Jan 24 14:16:01 EST 2026,2079,1325.0
3,Sat Jan 24 14:26:11 EST 2026,2084,1935.0
4,Sat Jan 24 15:04:30 EST 2026,2102,4234.0
5,Sat Jan 24 15:29:06 EST 2026,2082,5710.0
6,Sat Jan 24 15:47:18 EST 2026,2024,6802.0
7,Sat Jan 24 16:26:04 EST 2026,1978,9128.0
8,Sat Jan 24 16:56:02 EST 2026,1932,10926.0
9,Sat Jan 24 17:34:47 EST 2026,1910,13251.0
10,Sat Jan 24 18:44:31 EST 2026,1993,17435.0
11,Sat Jan 24 18:48:29 EST 2026,1996,17673.0
12,Sat Jan 24 19:03:03 EST 2026,1986,18547.0
13,Sat Jan 24 19:07:34 EST 2026,1979,18818.0
14,Sat Jan 24 19:11:58 EST 2026,1988,19082.0
15,Sat Jan 24 19:27:14 EST 2026,1942,19998.0
16,Sat Jan 24 19:44:24 EST 2026,1876,21028.0
17,Sat Jan 24 20:04:25 EST 2026,1748,22229.0
18,Sat Jan 24 20:20:53 EST 2026,1670,23217.0
19,Sat Jan 24 20:41:56 EST 2026,1649,24480.0
20,Sat Jan 24 20:48:34 EST 2026,1605,24878.0
21,Sat Jan 24 21:01:24 EST 2026,1613,25648.0
22,Sat Jan 24 21:23:20 EST 2026,1582,26964.0
23,Sat Jan 24 21:32:08 EST 2026,1538,27492.0
24,Sat Jan 24 21:41:40 EST 2026,1486,28064.0
25,Sat Jan 24 21:53:46 EST 2026,1443,28790.0
26,Sat Jan 24 21:56:01 EST 2026,1431,28925.0
27,Sat Jan 24 21:59:28 EST 2026,1400,29132.0
28,Sat Jan 24 22:03:41 EST 2026,1366,29385.0
29,Sat Jan 24 22:31:56 EST 2026,1310,31080.0
30,Sat Jan 24 22:41:28 EST 2026,1302,31652.0
31,Sat Jan 24 22:47:24 EST 2026,1307,32008.0
32,Sat Jan 24 22:55:53 EST 2026,1215,32517.0
33,Sat Jan 24 23:19:04 EST 2026,1121,33908.0
34,Sat Jan 24 23:29:36 EST 2026,1087,34540.0
35,Sun Jan 25 00:13:28 EST 2026,960,37172.0
36,Sun Jan 25 00:28:47 EST 2026,898,38091.0
37,Sun Jan 25 00:40:00 EST 2026,826,38764.0
